sep=,
"ID beacon'a","Moc rozgłaszania","RSSI","Dystans","Czas","ID urządzenia","Poziom baterii"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:50:47","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:50:48","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:50:48","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:50:49","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:50:50","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:50:50","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:50:51","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-20","-72","0.3","03-12-2015 14:50:51","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-16","-70","0.3","03-12-2015 14:50:54","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:50:55","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:50:57","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:50:57","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:50:58","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:50:58","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:50:59","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-4","-59","0.3","03-12-2015 14:51:01","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-4","-60","0.3","03-12-2015 14:51:01","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:51:02","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:51:03","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:51:05","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:51:06","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:51:08","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:51:09","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:51:10","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:51:10","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-16","-70","0.3","03-12-2015 14:51:11","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:51:11","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:51:15","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-4","-59","0.3","03-12-2015 14:51:15","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:51:18","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:51:18","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:51:19","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:51:19","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:51:21","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:51:21","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-30","-89","0.3","03-12-2015 14:51:22","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:51:23","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:51:25","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-16","-70","0.3","03-12-2015 14:51:26","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-16","-70","0.3","03-12-2015 14:51:26","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-16","-70","0.3","03-12-2015 14:51:27","GT-I9515 - 1a88bbcf523c933c","37"
